month,ticker,is_buy,status,exectype,size,price,value,commission
2022-11-30,AMGN,False,Completed,0,-498,239.7640878206,101097.9683485074,0.0
2022-11-30,AON,True,Completed,0,365,275.2240381213,100456.7739142745,0.0
2022-11-30,CF,True,Completed,0,1021,99.4672427075,101556.05480435751,0.0
2022-11-30,DVA,True,Completed,0,1369,73.04,99991.76000000001,0.0
2022-11-30,DVN,True,Completed,0,1475,68.941864925,101689.250764375,0.0
2022-11-30,QCOM,False,Completed,0,-959,110.47249922880002,101740.4388356083,0.0
2022-11-30,WAT,False,Completed,0,-371,303.86,100900.87000000001,0.0
2022-12-31,AAPL,True,Completed,0,686,145.7497895266,99984.35561524761,0.0
2022-12-31,AMGN,True,Completed,0,389,257.8788324858,100314.8658369762,0.0
2022-12-31,CF,False,Completed,0,-1021,100.3911073886,101556.05480435751,0.0
2022-12-31,DVA,False,Completed,0,-1369,74.35,99991.76000000001,0.0
2022-12-31,DVN,False,Completed,0,-1475,60.9341302013,101689.250764375,0.0
2022-12-31,OXY,True,Completed,0,1522,66.4461437376,101131.0307686272,0.0
2023-01-31,AAPL,False,Completed,0,-686,128.1174183896,99984.35561524761,0.0
2023-01-31,AMGN,False,Completed,0,-389,233.58628830060002,100314.8658369762,0.0
2023-01-31,EQT,True,Completed,0,3113,31.0193930361,96563.3705213793,0.0
2023-01-31,TPL,True,Completed,0,398,247.017785172,98313.078498456,0.0
2023-02-28,AMGN,True,Completed,0,442,223.1010066047,98610.6449192774,0.0
2023-02-28,EQT,False,Completed,0,-3113,30.4497072136,96563.3705213793,0.0
2023-02-28,KLAC,True,Completed,0,263,380.2844176272,100014.8018359536,0.0
2023-02-28,OXY,False,Completed,0,-1522,60.8633891041,101131.0307686272,0.0
2023-02-28,SMCI,True,Completed,0,13825,7.2,99540.0,0.0
2023-02-28,STX,False,Completed,0,-1291,61.9874213272,100484.23282337899,0.0
2023-02-28,TPL,False,Completed,0,-398,208.7783523812,98313.078498456,0.0
2023-02-28,VLO,True,Completed,0,792,126.9026234198,100506.8777484816,0.0
2023-03-31,APA,True,Completed,0,2936,34.0302331374,99912.76449140641,0.0
2023-03-31,KLAC,False,Completed,0,-263,363.3294572952,100014.8018359536,0.0
2023-03-31,MRNA,True,Completed,0,720,138.39,99640.79999999999,0.0
2023-03-31,SMCI,False,Completed,0,-13825,9.916,99540.0,0.0
2023-03-31,VLO,False,Completed,0,-792,120.22486667050002,100506.8777484816,0.0
2023-03-31,WAT,True,Completed,0,321,308.7,99092.7,0.0
2023-04-30,HD,True,Completed,0,365,273.2285858506,99728.433835469,0.0
