month,ticker,size,price,market_value
2019-01-31,MCO,737,148.1896615112,109215.7805337544
2019-01-31,NRG,3054,33.8418985526,103353.1581796404
2019-01-31,ORLY,5567,22.9773333333,127914.81466648109
2019-01-31,SBUX,1829,57.8327248623,105776.05377314669
2019-01-31,SPGI,1225,179.727496372,220166.18305569998
2019-01-31,UPS,1340,77.7814142527,104227.09509861801
2019-02-28,ABBV,1509,58.2441672714,87890.44841254261
2019-02-28,HD,820,154.7631572009,126905.788904738
2019-02-28,KMB,1282,90.408464375,115903.65132875
2019-02-28,LMT,418,254.9671630964,106576.27417429519
2019-02-28,MCO,737,162.3170098256,119627.6362414672
2019-02-28,NRG,3054,34.4788641328,105298.45106157119
2019-02-28,ORLY,5567,24.7973333333,138046.7546664811
2019-02-28,SBUX,1829,59.943842154,109637.287299666
2019-02-28,SPGI,1225,188.4354117194,230833.379356265
2019-02-28,UPS,1340,82.0278696672,109917.345354048
2019-03-31,AES,7573,13.8544116533,104919.4594504409
2019-03-31,HD,820,161.6099774568,132520.18151457602
2019-03-31,LMT,418,247.3447647943,103390.1116840174
2019-03-31,MCO,737,169.7896679143,125134.98525283909
2019-03-31,MSCI,583,184.3679011725,107486.4863835675
2019-03-31,ORLY,5567,25.8866666667,144111.0733335189
2019-03-31,PEP,1069,99.0546872445,105889.4606643705
2019-03-31,SBUX,1829,63.4247826036,116003.9273819844
2019-03-31,SPGI,1225,198.0090629212,242561.10207847002
2019-03-31,UPS,1340,83.1741756498,111453.395370732
2019-04-30,FTNT,5954,18.684,111244.53600000001
2019-04-30,HD,820,171.5563729634,140676.22582998802
2019-04-30,LMT,418,274.678273084,114815.518149112
2019-04-30,MCO,737,184.3505688072,135866.3692109064
2019-04-30,MSCI,583,208.9762500818,121833.1537976894
2019-04-30,ORLY,5567,25.238,140499.946
2019-04-30,SBUX,1829,66.2743760109,121215.8337239361
2019-04-30,SPGI,1225,207.5168835155,254208.18230648752
2019-04-30,STX,2691,37.4811000191,100861.6401513981
2019-04-30,UPS,1340,79.0653386211,105947.55375227399
2019-05-31,FIX,1926,45.363381722,87369.87319657199
2019-05-31,HD,820,159.8918871237,131111.347441434
2019-05-31,INTU,417,233.3997193154,97327.6829545218
2019-05-31,LMT,418,280.7844321562,117367.8926412916
2019-05-31,MCO,737,171.9290777255,126711.73028369351
2019-05-31,MSCI,583,204.5204630795,119235.4299753485
2019-05-31,ORLY,5567,24.758,137827.786
2019-05-31,SPGI,1225,201.6751689431,247052.0819552975
2019-05-31,TPL,1224,75.0114420632,91814.0050853568
2019-05-31,UPS,1340,69.8334193565,93576.78193771001
2019-06-30,GIS,2611,40.6711647951,106192.4112800061
2019-06-30,HLT,1138,96.0013248313,109249.5076580194
2019-06-30,LMT,418,301.5193846106,126035.10276723081
2019-06-30,LULU,603,180.21,108666.63
2019-06-30,MCO,737,183.6147647122,135324.08159289142
2019-06-30,MSCI,583,221.9782799816,129413.3372292728
2019-06-30,ORLY,5567,24.6213333333,137066.9626664811
2019-06-30,SPG,898,109.7391341734,98545.7424877132
2019-06-30,SPGI,1225,214.7914098258,263119.477036605
2019-06-30,TSN,1613,65.9398211985,106360.9315931805
2019-07-31,CLX,811,131.6702016887,106784.53356953569
2019-07-31,ERIE,451,194.5077837974,87723.0104926274
2019-07-31,HSY,879,128.6533767946,113086.3182024534
2019-07-31,LLY,984,99.8609934363,98263.2175413192
2019-07-31,LMT,418,300.3831092161,125560.13965232982
2019-07-31,MCO,737,201.5052412493,148509.36280073412
2019-07-31,MSCI,583,211.2414437079,123153.7616817057
2019-07-31,ORLY,5567,25.384,141312.728
2019-07-31,PEP,936,104.0537571424,97394.31668528641
2019-07-31,SPGI,1225,230.9721929709,282940.9363893525
2019-08-31,CDW,924,105.9667283638,97913.2570081512
2019-08-31,DECK,3839,24.575,94343.425
2019-08-31,ERIE,451,191.4867444656,86360.5217539856
2019-08-31,HLT,1054,90.8689517242,95775.8751173068
2019-08-31,LMT,418,320.404779306,133929.19774990802
2019-08-31,MCO,737,203.1368356554,149711.8478780298
2019-08-31,MSCI,583,218.7787668094,127548.0210498802
2019-08-31,MTD,132,656.79,86696.28
2019-08-31,ORLY,5567,25.584,142426.128
2019-08-31,SPGI,1225,245.8862606416,301210.66928596
2019-09-30,HLT,1054,91.5969264376,96543.16046523041
2019-09-30,HSY,740,132.050265588,97717.19653512
2019-09-30,IDXX,345,271.93,93815.85
2019-09-30,LLY,960,103.1001799949,98976.17279510401
2019-09-30,LMT,418,325.3679628651,136003.8084776118
2019-09-30,MA,369,261.4732212656,96483.6186470064
2019-09-30,MCO,737,193.0073200078,142246.39484574858
2019-09-30,ORLY,5567,26.5673333333,147900.3446664811
2019-09-30,PEP,898,112.400906931,100936.01442403799
2019-09-30,SPGI,1225,231.5124183558,283602.71248585504
2019-10-31,FDS,441,236.5405049152,104314.3626676032
2019-10-31,HLT,1054,95.3843624465,100535.118018611
2019-10-31,HSY,740,125.1320892116,92597.746016584
2019-10-31,IDXX,345,285.01,98328.45
2019-10-31,LMT,418,314.207055971,131338.54939587798
2019-10-31,MCO,737,207.9518891399,153260.54229610632
2019-10-31,MU,2393,46.3670929754,110956.45349013219
2019-10-31,ORLY,5567,29.034,161632.278
2019-10-31,SPGI,1225,243.8072039007,298663.82477835746
2019-10-31,UPS,1101,87.2759298603,96090.79877619029
2019-11-30,BLDR,4422,25.41,112363.02
2019-11-30,HLT,1054,103.4503256916,109036.6432789464
2019-11-30,IDXX,345,251.58,86795.1
2019-11-30,LLY,951,108.8157368064,103483.76570288639
2019-11-30,LMT,418,328.1790433011,137178.8400998598
2019-11-30,MCO,737,214.0636743986,157764.9280317682
2019-11-30,NVR,27,3791.89,102381.03
2019-11-30,ORLY,5567,29.4853333333,164144.8506664811
2019-11-30,SPGI,1225,250.6373089345,307030.7034447625
2019-11-30,STX,2164,47.503589505,102797.76768882001
2019-12-31,HLT,1054,109.2731011662,115173.8486291748
2019-12-31,IDXX,345,261.13,90089.84999999999
2019-12-31,LLY,951,121.8717706729,115900.0539099279
2019-12-31,LMT,418,326.7942507751,136599.9968239918
2019-12-31,MCO,737,224.2063658137,165240.09160469688
2019-12-31,NTAP,1959,52.4211909705,102693.1131112095
2019-12-31,ORLY,5567,29.2173333333,162652.8946664811
2019-12-31,QCOM,1385,76.7887495021,106352.4180604085
2019-12-31,SPGI,1225,258.5925456436,316775.86841341
2019-12-31,STX,2164,47.8777831613,103607.5227610532
2020-01-31,HLT,1054,106.2090010433,111944.28709963821
2020-01-31,IDXX,345,271.01,93498.45
2020-01-31,LLY,951,129.4846995112,123139.9492351512
2020-01-31,LMT,418,359.3075007495,150190.53531329098
2020-01-31,MCO,737,242.5085408251,178728.7945880987
2020-01-31,NTAP,1959,45.3124125785,88767.0162412815
2020-01-31,ORLY,5567,27.0733333333,150717.2466664811
2020-01-31,SPGI,1225,278.1775807796,340767.53645501
2020-01-31,STX,2164,45.8580649137,99236.85247324679
2020-01-31,UPS,1118,79.0562105309,88384.8433735462
2020-02-29,HLT,1054,95.9153433073,101094.77184589421
2020-02-29,IDXX,345,254.51,87805.95
2020-02-29,LLY,951,117.5675674578,111806.7566523678
