strategy,strategy_notes,signal_month,ticker,GICS Sector,score,allocated_cash,realized_stock_return
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2019-03-31,UPS,Industrials,0.9249174698360413,100000.0,-0.061577877904771205
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2019-03-31,KIM,Real Estate,0.9233923646188691,100000.0,-0.041345093712498504
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2019-03-31,SPGI,Financials,0.916506289508023,100000.0,0.040750872559303764
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2019-03-31,HD,Consumer Discretionary,0.9127852396276593,100000.0,0.055495103373289556
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2019-03-31,MCO,Financials,0.9024875129970467,100000.0,0.07566059412405224
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2019-03-31,LULU,Consumer Discretionary,0.8217032691721304,100000.0,0.07034474386987144
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2019-04-30,ORLY,Consumer Discretionary,1.3479576333871808,100000.0,-0.016733299794827516
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2019-04-30,MSCI,Financials,1.096921024850916,100000.0,-0.022189677262186347
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2019-04-30,SPGI,Financials,0.9799934560719643,100000.0,-0.02960179438320032
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2019-04-30,TPL,Energy,0.8965612969540433,100000.0,-0.07873749999945123
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2019-04-30,WAT,Health Care,0.874554346184162,100000.0,-0.05836265540699037
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2019-04-30,MCO,Financials,0.8726986603439817,100000.0,-0.06894238137321385
