strategy,month,portfolio_return,pnl,equity,prev_equity,n_positions,regime_on
base_top10_stop10_take20,2018-01-31,-0.02942844799450897,-67273.39110106634,2218725.215200524,2285998.6063015903,10,True
base_top10_stop10_take20,2018-02-28,-0.01193349736771149,-26477.151515270558,2192248.0636852533,2218725.215200524,10,True
base_top10_stop10_take20,2018-03-31,-0.00838160116151413,-18374.54891691142,2173873.514768342,2192248.0636852533,10,True
base_top10_stop10_take20,2018-04-30,0.025134737630000913,54639.74043451019,2228513.255202852,2173873.514768342,10,True
base_top10_stop10_take20,2018-05-31,-0.009581699661048935,-21352.944702020228,2207160.310500832,2228513.255202852,10,True
base_top10_stop10_take20,2018-06-30,0.025144579765660167,55498.118482987426,2262658.428983819,2207160.310500832,10,True
base_top10_stop10_take20,2018-07-31,0.02451946371656032,55479.17125243813,2318137.6002362575,2262658.428983819,10,True
base_top10_stop10_take20,2018-08-31,0.005084531776566832,11786.644290855631,2329924.244527113,2318137.6002362575,10,True
base_top10_stop10_take20,2018-09-30,-0.0363668869249254,-84732.09154435976,2245192.1529827532,2329924.244527113,10,True
base_top10_stop10_take20,2018-10-31,0.008957714595953417,20111.790519493687,2265303.943502247,2245192.1529827532,10,False
base_top10_stop10_take20,2018-11-30,-0.031718265419612035,-71851.5117360981,2193452.4317661487,2265303.943502247,10,True
base_top10_stop10_take20,2018-12-31,0.0368052927277218,80730.65883548633,2274183.090601635,2193452.4317661487,10,False
base_top10_stop10_take20,2019-01-31,0.021850593233688494,49692.24965166888,2323875.340253304,2274183.090601635,10,False
base_top10_stop10_take20,2019-02-28,0.01127308107158055,26197.235110922335,2350072.5753642265,2323875.340253304,10,True
base_top10_stop10_take20,2019-03-31,0.006916237732331867,16253.660619452387,2366326.235983679,2350072.5753642265,10,True
base_top10_stop10_take20,2019-04-30,-0.01905284663728324,-45085.25086797674,2321240.9851157023,2366326.235983679,10,True
base_top10_stop10_take20,2019-05-31,0.02703985829164753,62766.0272982929,2384007.0124139953,2321240.9851157023,10,False
base_top10_stop10_take20,2019-06-30,0.0012686895783720772,3024.564851415587,2387031.577265411,2384007.0124139953,10,True
base_top10_stop10_take20,2019-07-31,-0.005449307436967772,-13007.668926269316,2374023.908339142,2387031.577265411,10,True
base_top10_stop10_take20,2019-08-31,-0.007730598087819769,-18352.624686244984,2355671.283652897,2374023.908339142,10,True
base_top10_stop10_take20,2019-09-30,0.014933596044961573,35178.643364788455,2390849.9270176855,2355671.283652897,10,True
base_top10_stop10_take20,2019-10-31,0.007822904994139976,18703.391834305847,2409553.3188519916,2390849.9270176855,10,True
base_top10_stop10_take20,2019-11-30,0.011381339006348374,27423.943175726352,2436977.262027718,2409553.3188519916,10,True
base_top10_stop10_take20,2019-12-31,9.675080741176824e-05,235.77951774530203,2437213.0415454633,2436977.262027718,10,True
base_top10_stop10_take20,2020-01-31,-0.03973755029380394,-96848.87581512773,2340364.1657303357,2437213.0415454633,10,True
base_top10_stop10_take20,2020-02-29,-0.042728393069885316,-100000.0,2240364.1657303357,2340364.1657303357,10,False
base_top10_stop10_take20,2020-03-31,0.08226082794525355,184294.21117185467,2424658.3769021905,2240364.1657303357,10,False
base_top10_stop10_take20,2020-04-30,0.03369197339319907,81691.52552218585,2506349.9024243765,2424658.3769021905,10,False
base_top10_stop10_take20,2020-05-31,0.006741711161155852,16897.0871109363,2523246.9895353126,2506349.9024243765,10,True
base_top10_stop10_take20,2020-06-30,0.0353493892234127,89195.23993988812,2612442.2294752006,2523246.9895353126,10,True
base_top10_stop10_take20,2020-07-31,0.014063694175570176,36740.588566683946,2649182.818041885,2612442.2294752006,10,True
base_top10_stop10_take20,2020-08-31,-0.027176026375061623,-71994.26213546634,2577188.5559064182,2649182.818041885,10,True
base_top10_stop10_take20,2020-09-30,-0.007025952646060368,-18107.204753767197,2559081.351152651,2577188.5559064182,10,True
